URL,Keyword,Clicks,Impressions,CTR,Position
https://mbt.com.vn/?play=phimsexsud,phim sexsud,13,380,0.034210526315789476,4.868421052631579
https://mbt.com.vn/?play=phimsexsud,phimsexsud,13,190,0.06842105263157895,2.468421052631579
https://mbt.com.vn/tin-tuc/may-bien-ap-mot-pha-luu-y-lap-dat-bien-ap?keyword=phim%20sex%20l%E1%BB%93n%20m%C3%BAp%20kh%C3%B4ng%20l%C3%B4ng,sex mup,13,34,0.38235294117647056,4.470588235294118
https://mbt.com.vn/tin-tuc,sex viet88,13,1195,0.010878661087866108,11.002510460251045
https://mbt.com.vn/tin-tuc/may-bien-ap-thuy-dien-mbt?hot=sex%20hay%20g%C3%A1i%20xinh,sexhay,13,162,0.08024691358024691,6.006172839506172
https://mbt.com.vn/tin-tuc/tuyen-dung-ky-thuat-vien-san-xuat?ios=xemphimsex,xemphimsex,13,60,0.21666666666666667,2.033333333333333
https://mbt.com.vn/tin-tuc/may-bien-ap-mot-pha-luu-y-lap-dat-bien-ap?produc_id=phim%20sexy%20vi%E1%BA%BFt%20nam,phim sexy,12,97,0.12371134020618557,4.525773195876289
https://mbt.com.vn/tin-tuc/may-bien-ap-mot-pha-luu-y-lap-dat-bien-ap?ios=sex%20chau%20au,sex chau au,12,187,0.06417112299465241,5.598930481283422
https://mbt.com.vn/tin-tuc/may-bien-ap-mot-pha-luu-y-lap-dat-bien-ap?top=phim%20sex%20ch%C3%A2u%20%C3%A2u%20hay%20nh%E1%BA%A5t,sex châu âu,12,53,0.22641509433962265,5.962264150943396
https://mbt.com.vn/tin-tuc/may-bien-ap-mot-pha-luu-y-lap-dat-bien-ap?video=sex%20ch%C3%A2u%20%C3%A2u%20%C4%91%E1%BA%B9p%20nh%E1%BA%A5t,sex châu âu,12,47,0.2553191489361702,4.085106382978724
https://mbt.com.vn/tin-tuc/may-bien-ap-mot-pha-luu-y-lap-dat-bien-ap?game=sex%20idol,sex idol,12,62,0.1935483870967742,4.741935483870968
